,data_year,Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.","Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",ori_number
3,2020.0,152.0,273.0,11.0,128.0,0.0,1.0,77.0,392.0,20.0,1.0,0.0,1.0,0.0,0.0,0.0,287.0,0.0,0.0,49.0,4.0,0.0,0.0,3.0,76.0,220.0,26.0,0.0,8.0,40.0,47.0,27.0,CA0010300
4,2022.0,178.0,329.0,8.0,141.0,0.0,4.0,98.0,288.0,51.0,0.0,2.0,5.0,0.0,0.0,0.0,247.0,0.0,0.0,47.0,7.0,1.0,0.0,5.0,84.0,208.0,30.0,0.0,12.0,63.0,47.0,37.0,CA0010300
0,2017.0,50.0,104.0,1.0,19.0,0.0,0.0,58.0,52.0,16.0,1.0,3.0,10.0,0.0,0.0,0.0,225.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,26.0,58.0,9.0,0.0,0.0,3.0,12.0,1.0,CA0010400
1,2018.0,30.0,62.0,2.0,20.0,0.0,4.0,80.0,82.0,17.0,2.0,1.0,5.0,0.0,0.0,0.0,211.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,34.0,78.0,12.0,0.0,4.0,17.0,13.0,2.0,CA0010400
2,2019.0,38.0,45.0,1.0,17.0,0.0,3.0,84.0,56.0,24.0,5.0,2.0,4.0,0.0,0.0,0.0,190.0,0.0,0.0,16.0,0.0,0.0,1.0,4.0,22.0,75.0,15.0,0.0,3.0,9.0,18.0,3.0,CA0010400
3,2020.0,34.0,36.0,0.0,31.0,0.0,1.0,33.0,49.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,73.0,0.0,0.0,18.0,0.0,0.0,1.0,0.0,7.0,45.0,12.0,0.0,4.0,10.0,34.0,0.0,CA0010400
4,2021.0,9.0,28.0,0.0,10.0,0.0,5.0,22.0,27.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,97.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,7.0,37.0,22.0,0.0,2.0,12.0,19.0,0.0,CA0010400
5,2022.0,24.0,33.0,1.0,18.0,0.0,11.0,18.0,29.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,130.0,0.0,0.0,15.0,0.0,0.0,0.0,2.0,15.0,54.0,37.0,0.0,5.0,7.0,25.0,0.0,CA0010400
0,2017.0,175.0,453.0,8.0,163.0,0.0,4.0,152.0,579.0,128.0,6.0,16.0,6.0,0.0,0.0,0.0,209.0,0.0,2.0,63.0,9.0,0.0,1.0,13.0,86.0,175.0,51.0,0.0,0.0,35.0,46.0,25.0,CA0010500
1,2018.0,179.0,596.0,6.0,144.0,0.0,0.0,169.0,702.0,177.0,3.0,11.0,11.0,0.0,0.0,0.0,215.0,3.0,0.0,53.0,6.0,0.0,0.0,10.0,88.0,206.0,42.0,0.0,11.0,43.0,39.0,27.0,CA0010500
2,2019.0,160.0,436.0,4.0,132.0,0.0,3.0,105.0,535.0,114.0,8.0,13.0,9.0,0.0,0.0,0.0,136.0,0.0,0.0,101.0,4.0,0.0,0.0,6.0,87.0,179.0,73.0,0.0,7.0,44.0,37.0,27.0,CA0010500
3,2020.0,120.0,185.0,7.0,85.0,0.0,1.0,60.0,208.0,41.0,8.0,1.0,2.0,0.0,0.0,0.0,67.0,0.0,0.0,61.0,1.0,0.0,0.0,3.0,43.0,101.0,52.0,0.0,0.0,33.0,36.0,15.0,CA0010500
4,2022.0,90.0,175.0,6.0,56.0,0.0,19.0,143.0,137.0,17.0,4.0,1.0,21.0,0.0,0.0,0.0,98.0,0.0,0.0,19.0,3.0,0.0,0.0,2.0,46.0,114.0,43.0,0.0,3.0,50.0,49.0,10.0,CA0010500
0,2017.0,221.0,1312.0,4.0,33.0,0.0,4.0,120.0,834.0,0.0,5.0,8.0,7.0,0.0,0.0,0.0,288.0,8.0,0.0,55.0,8.0,1.0,29.0,10.0,40.0,270.0,28.0,0.0,0.0,50.0,75.0,55.0,CA0010600
1,2018.0,244.0,1290.0,1.0,32.0,0.0,7.0,157.0,790.0,0.0,8.0,6.0,8.0,0.0,0.0,0.0,242.0,0.0,0.0,32.0,2.0,0.0,24.0,6.0,24.0,269.0,68.0,0.0,1.0,33.0,66.0,53.0,CA0010600
2,2019.0,247.0,1121.0,3.0,36.0,0.0,5.0,251.0,820.0,0.0,3.0,7.0,6.0,0.0,0.0,0.0,289.0,2.0,0.0,29.0,0.0,1.0,5.0,3.0,31.0,307.0,41.0,0.0,0.0,57.0,50.0,36.0,CA0010600
3,2020.0,184.0,580.0,1.0,32.0,0.0,2.0,106.0,361.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,88.0,2.0,0.0,60.0,1.0,0.0,0.0,3.0,21.0,286.0,56.0,0.0,1.0,51.0,55.0,16.0,CA0010600
4,2022.0,179.0,651.0,1.0,21.0,0.0,23.0,93.0,278.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,82.0,0.0,0.0,15.0,1.0,0.0,0.0,5.0,17.0,211.0,66.0,0.0,2.0,35.0,77.0,18.0,CA0010600
0,2017.0,124.0,346.0,1.0,48.0,0.0,81.0,172.0,703.0,182.0,3.0,11.0,11.0,0.0,0.0,0.0,98.0,9.0,0.0,13.0,1.0,0.0,3.0,3.0,14.0,130.0,74.0,0.0,4.0,18.0,55.0,13.0,CA0010700
1,2018.0,123.0,401.0,2.0,37.0,0.0,68.0,252.0,675.0,175.0,1.0,15.0,14.0,0.0,0.0,0.0,91.0,11.0,0.0,10.0,0.0,0.0,10.0,1.0,34.0,173.0,71.0,0.0,2.0,15.0,79.0,12.0,CA0010700
2,2019.0,147.0,366.0,1.0,51.0,0.0,67.0,273.0,742.0,175.0,8.0,9.0,24.0,0.0,0.0,0.0,102.0,11.0,0.0,1.0,1.0,1.0,2.0,1.0,10.0,208.0,75.0,0.0,5.0,23.0,65.0,14.0,CA0010700
