,county_name,data_year,Crimes Against Persons,Crimes Against Society,Crimes Against Property,POVERTY_RATE,POPULATION
108,LOS ANGELES,2022,27271,34528,31872,17.1,"9,684,503"
109,MADERA,2017,906,1512,574,21.1,"141,598"
110,MADERA,2018,1014,1822,584,21.1,"141,598"
111,MADERA,2019,931,1750,565,21.1,"141,598"
112,MADERA,2020,835,1492,480,21.1,"141,598"
113,MADERA,2021,651,1022,477,21.1,"141,598"
114,MADERA,2022,712,1076,557,21.1,"141,598"
115,MARIN,2017,943,2297,795,7.5,"244,670"
116,MARIN,2018,957,2575,698,7.5,"244,670"
117,MARIN,2019,912,2193,581,7.5,"244,670"
118,MARIN,2020,793,1732,581,7.5,"244,670"
119,MARIN,2021,32,87,38,7.5,"244,670"
120,MARIN,2022,727,1500,643,7.5,"244,670"
121,MARIPOSA,2017,90,186,50,14.7,"18,047"
122,MARIPOSA,2018,76,228,50,14.7,"18,047"
123,MARIPOSA,2019,128,311,64,14.7,"18,047"
124,MARIPOSA,2020,84,244,54,14.7,"18,047"
125,MARIPOSA,2021,44,77,29,14.7,"18,047"
126,MARIPOSA,2022,59,146,25,14.7,"18,047"
127,MENDOCINO,2017,697,1533,503,19.4,"86,212"
128,MENDOCINO,2018,705,1634,496,19.4,"86,212"
129,MENDOCINO,2019,754,1618,463,19.4,"86,212"
130,MENDOCINO,2020,610,1164,391,19.4,"86,212"
131,MENDOCINO,2021,44,109,55,19.4,"86,212"
132,MENDOCINO,2022,230,740,271,19.4,"86,212"
133,MERCED,2017,1855,2504,1558,24.6,"252,170"
134,MERCED,2018,1845,2054,1220,24.6,"252,170"
135,MERCED,2019,1698,2105,1170,24.6,"252,170"
136,MERCED,2020,1645,1763,1036,24.6,"252,170"
137,MERCED,2021,34,40,25,24.6,"252,170"
138,MERCED,2022,1330,1227,982,24.6,"252,170"
139,MODOC,2017,93,91,39,19.9,"9,171"
140,MODOC,2018,104,136,40,19.9,"9,171"
141,MODOC,2019,77,138,55,19.9,"9,171"
142,MODOC,2020,80,104,41,19.9,"9,171"
143,MODOC,2021,2,0,1,19.9,"9,171"
144,MODOC,2022,45,47,32,19.9,"9,171"
145,MONO,2017,79,72,42,9.5,"14,058"
146,MONO,2018,99,52,17,9.5,"14,058"
147,MONO,2019,103,63,31,9.5,"14,058"
148,MONO,2020,79,55,30,9.5,"14,058"
149,MONO,2022,74,42,33,9.5,"14,058"
150,MONTEREY,2017,1976,3685,1894,16.1,"397,891"
151,MONTEREY,2018,2205,4152,1699,16.1,"397,891"
152,MONTEREY,2019,2023,3960,1585,16.1,"397,891"
153,MONTEREY,2020,1845,3042,1401,16.1,"397,891"
154,MONTEREY,2021,493,1026,474,16.1,"397,891"
155,MONTEREY,2022,1533,2902,1364,16.1,"397,891"
156,NAPA,2017,551,1205,419,10.0,"133,196"
157,NAPA,2018,514,1191,360,10.0,"133,196"
158,NAPA,2019,513,989,319,10.0,"133,196"
159,NAPA,2020,445,869,321,10.0,"133,196"
160,NAPA,2022,436,930,263,10.0,"133,196"
161,NEVADA,2017,431,991,419,11.6,"97,719"
162,NEVADA,2018,426,1169,353,11.6,"97,719"
163,NEVADA,2019,543,1030,333,11.6,"97,719"
164,NEVADA,2020,384,710,254,11.6,"97,719"
165,NEVADA,2021,11,42,14,11.6,"97,719"
166,NEVADA,2022,266,435,186,11.6,"97,719"
167,ORANGE,2017,9458,32956,12770,11.7,"2,985,156"
168,ORANGE,2018,9472,34979,11675,11.7,"2,985,156"
169,ORANGE,2019,9043,34022,10938,11.7,"2,985,156"
170,ORANGE,2020,8375,27376,9740,11.7,"2,985,156"
171,ORANGE,2021,882,2321,1449,11.7,"2,985,156"
172,ORANGE,2022,7439,21670,9550,11.7,"2,985,156"
173,PLACER,2017,1156,3817,1648,8.4,"347,344"
174,PLACER,2018,1115,3489,1410,8.4,"347,344"
175,PLACER,2019,1241,3548,1415,8.4,"347,344"
176,PLACER,2020,1151,3702,1232,8.4,"347,344"
177,PLACER,2021,18,70,19,8.4,"347,344"
178,PLACER,2022,1223,2713,1263,8.4,"347,344"
179,PLUMAS,2017,146,399,78,13.9,"19,627"
180,PLUMAS,2018,130,377,78,13.9,"19,627"
181,PLUMAS,2019,129,280,72,13.9,"19,627"
182,PLUMAS,2020,112,226,51,13.9,"19,627"
183,PLUMAS,2022,123,232,64,13.9,"19,627"
184,RIVERSIDE,2017,5645,10840,5714,15.6,"2,157,713"
185,RIVERSIDE,2018,5487,10215,5195,15.6,"2,157,713"
186,RIVERSIDE,2019,5219,9665,5034,15.6,"2,157,713"
187,RIVERSIDE,2020,4769,8116,4472,15.6,"2,157,713"
188,RIVERSIDE,2021,417,958,458,15.6,"2,157,713"
189,RIVERSIDE,2022,4987,7562,4562,15.6,"2,157,713"
190,SACRAMENTO,2017,6781,12394,7458,16.5,"1,396,487"
191,SACRAMENTO,2018,6971,13097,6745,16.5,"1,396,487"
192,SACRAMENTO,2019,6988,13210,6346,16.5,"1,396,487"
193,SACRAMENTO,2020,6592,8848,5986,16.5,"1,396,487"
194,SACRAMENTO,2021,55,57,37,16.5,"1,396,487"
195,SACRAMENTO,2022,7714,5663,5830,16.5,"1,396,487"
196,SAN BENITO,2017,343,628,211,12.7,"55,176"
197,SAN BENITO,2018,339,712,170,12.7,"55,176"
198,SAN BENITO,2019,326,525,189,12.7,"55,176"
199,SAN BENITO,2020,291,418,137,12.7,"55,176"
200,SAN BENITO,2021,212,408,119,12.7,"55,176"
201,SAN BENITO,2022,227,427,153,12.7,"55,176"
202,SAN BERNARDINO,2017,8831,17143,10227,17.6,"1,995,666"
203,SAN BERNARDINO,2018,9287,17351,9925,17.6,"1,995,666"
204,SAN BERNARDINO,2019,8945,15793,9470,17.6,"1,995,666"
205,SAN BERNARDINO,2020,8049,12470,7864,17.6,"1,995,666"
206,SAN BERNARDINO,2021,1205,2547,1707,17.6,"1,995,666"
207,SAN BERNARDINO,2022,7761,10527,9126,17.6,"1,995,666"
208,SAN DIEGO,2017,12999,28017,11391,13.9,"3,019,666"
209,SAN DIEGO,2018,12383,28722,10722,13.9,"3,019,666"
210,SAN DIEGO,2019,12153,29700,10942,13.9,"3,019,666"
211,SAN DIEGO,2020,11240,27136,9141,13.9,"3,019,666"
212,SAN DIEGO,2021,6124,20020,6226,13.9,"3,019,666"
213,SAN DIEGO,2022,10141,18787,8648,13.9,"3,019,666"
214,SAN FRANCISCO,2017,2983,1890,2526,13.2,"795,816"
215,SAN FRANCISCO,2018,2854,2033,2528,13.2,"795,816"
216,SAN FRANCISCO,2019,3245,1921,2570,13.2,"795,816"
217,SAN FRANCISCO,2020,2393,1196,2151,13.2,"795,816"
218,SAN FRANCISCO,2021,5,1,7,13.2,"795,816"
219,SAN FRANCISCO,2022,3059,1842,2492,13.2,"795,816"
220,SAN JOAQUIN,2017,4721,5208,4155,17.5,"672,265"
221,SAN JOAQUIN,2018,4634,4872,3867,17.5,"672,265"
222,SAN JOAQUIN,2019,4624,4569,3677,17.5,"672,265"
223,SAN JOAQUIN,2020,4408,3753,3261,17.5,"672,265"
224,SAN JOAQUIN,2021,1379,1344,1421,17.5,"672,265"
225,SAN JOAQUIN,2022,3208,2773,3048,17.5,"672,265"
226,SAN LUIS OBISPO,2017,1184,5328,1142,13.7,"254,132"
227,SAN LUIS OBISPO,2018,1154,4616,1079,13.7,"254,132"
228,SAN LUIS OBISPO,2019,1034,4213,1053,13.7,"254,132"
229,SAN LUIS OBISPO,2020,1041,3708,860,13.7,"254,132"
230,SAN LUIS OBISPO,2021,113,583,118,13.7,"254,132"
231,SAN LUIS OBISPO,2022,1073,3183,782,13.7,"254,132"
232,SAN MATEO,2017,2208,6647,2771,7.4,"713,363"
233,SAN MATEO,2018,2209,7000,2627,7.4,"713,363"
234,SAN MATEO,2019,2363,6620,2846,7.4,"713,363"
235,SAN MATEO,2020,1963,4591,1992,7.4,"713,363"
236,SAN MATEO,2021,119,335,158,7.4,"713,363"
237,SAN MATEO,2022,1915,4080,2588,7.4,"713,363"
238,SANTA BARBARA,2017,2459,7164,1690,15.3,"406,340"
239,SANTA BARBARA,2018,2372,6453,1621,15.3,"406,340"
240,SANTA BARBARA,2019,2023,5328,1617,15.3,"406,340"
241,SANTA BARBARA,2020,1891,4260,1403,15.3,"406,340"
242,SANTA BARBARA,2021,473,696,377,15.3,"406,340"
243,SANTA BARBARA,2022,1740,3281,1536,15.3,"406,340"
244,SANTA CLARA,2017,6491,12400,6658,9.7,"1,761,326"
245,SANTA CLARA,2018,6522,12554,6269,9.7,"1,761,326"
246,SANTA CLARA,2019,6816,11910,5946,9.7,"1,761,326"
247,SANTA CLARA,2020,6516,10189,5507,9.7,"1,761,326"
248,SANTA CLARA,2021,359,664,393,9.7,"1,761,326"
249,SANTA CLARA,2022,6881,7648,6028,9.7,"1,761,326"
250,SANTA CRUZ,2017,1683,4364,1834,14.4,"253,753"
251,SANTA CRUZ,2018,1660,4330,1638,14.4,"253,753"
252,SANTA CRUZ,2019,1747,3992,1460,14.4,"253,753"
253,SANTA CRUZ,2020,1470,3325,1223,14.4,"253,753"
254,SANTA CRUZ,2021,114,209,61,14.4,"253,753"
255,SANTA CRUZ,2022,1428,2900,1065,14.4,"253,753"
256,SHASTA,2017,982,2691,1172,17.6,"174,707"
257,SHASTA,2018,930,2513,1022,17.6,"174,707"
258,SHASTA,2019,971,2929,1149,17.6,"174,707"
259,SHASTA,2020,829,3138,891,17.6,"174,707"
260,SHASTA,2022,842,3169,983,17.6,"174,707"
261,SIERRA,2017,27,35,17,16.8,"3,132"
262,SIERRA,2018,25,42,18,16.8,"3,132"
263,SIERRA,2019,20,40,12,16.8,"3,132"
264,SIERRA,2020,24,50,15,16.8,"3,132"
265,SIERRA,2022,8,24,10,16.8,"3,132"
266,SISKIYOU,2017,326,602,239,19.6,"44,039"
267,SISKIYOU,2018,331,606,235,19.6,"44,039"
268,SISKIYOU,2019,320,535,206,19.6,"44,039"
269,SISKIYOU,2020,269,491,191,19.6,"44,039"
270,SISKIYOU,2022,235,433,224,19.6,"44,039"
271,SOLANO,2017,2945,4638,2920,11.9,"397,076"
272,SOLANO,2018,2848,4761,2708,11.9,"397,076"
273,SOLANO,2019,2386,3445,2370,11.9,"397,076"
274,SOLANO,2020,2209,3260,2256,11.9,"397,076"
275,SOLANO,2021,75,156,84,11.9,"397,076"
276,SOLANO,2022,2239,2236,1857,11.9,"397,076"
277,SONOMA,2017,2602,5968,1875,11.5,"476,043"
278,SONOMA,2018,2640,5837,1923,11.5,"476,043"
279,SONOMA,2019,2621,5712,1734,11.5,"476,043"
280,SONOMA,2020,1957,2794,1245,11.5,"476,043"
281,SONOMA,2021,17,51,21,11.5,"476,043"
282,SONOMA,2022,1901,2561,1513,11.5,"476,043"
283,STANISLAUS,2017,3343,4930,3032,19.2,"508,890"
284,STANISLAUS,2018,3478,4359,2734,19.2,"508,890"
285,STANISLAUS,2019,3591,4670,2677,19.2,"508,890"
286,STANISLAUS,2020,3660,5197,2458,19.2,"508,890"
287,STANISLAUS,2022,3019,3606,2275,19.2,"508,890"
288,SUTTER,2017,756,1462,950,17.0,"93,434"
289,SUTTER,2018,694,1597,846,17.0,"93,434"
290,SUTTER,2019,688,1592,944,17.0,"93,434"
291,SUTTER,2020,549,967,746,17.0,"93,434"
292,SUTTER,2021,20,59,53,17.0,"93,434"
293,SUTTER,2022,572,1251,640,17.0,"93,434"
294,TEHAMA,2017,384,919,472,20.3,"62,314"
295,TEHAMA,2018,483,961,416,20.3,"62,314"
296,TEHAMA,2019,451,985,428,20.3,"62,314"
297,TEHAMA,2020,354,679,315,20.3,"62,314"
298,TEHAMA,2021,190,415,201,20.3,"62,314"
299,TEHAMA,2022,253,608,342,20.3,"62,314"
300,TRINITY,2017,98,250,62,17.7,"13,409"
301,TRINITY,2018,83,192,47,17.7,"13,409"
302,TRINITY,2019,51,173,33,17.7,"13,409"
303,TRINITY,2020,79,151,48,17.7,"13,409"
304,TRINITY,2022,62,65,37,17.7,"13,409"
305,TULARE,2017,3798,7997,3310,24.8,"435,395"
306,TULARE,2018,3898,7460,3439,24.8,"435,395"
307,TULARE,2019,3787,7565,3302,24.8,"435,395"
308,TULARE,2020,3747,7187,2833,24.8,"435,395"
309,TULARE,2021,952,1787,677,24.8,"435,395"
310,TULARE,2022,3675,5600,2907,24.8,"435,395"
311,TUOLUMNE,2017,357,880,270,13.1,"51,217"
312,TUOLUMNE,2018,331,784,278,13.1,"51,217"
313,TUOLUMNE,2019,398,920,291,13.1,"51,217"
314,TUOLUMNE,2020,365,710,235,13.1,"51,217"
315,TUOLUMNE,2022,293,420,180,13.1,"51,217"
316,VENTURA,2017,2886,9321,3364,10.3,"811,132"
317,VENTURA,2018,3222,10346,3267,10.3,"811,132"
318,VENTURA,2019,3376,10208,3229,10.3,"811,132"
319,VENTURA,2020,2977,8622,2961,10.3,"811,132"
320,VENTURA,2021,125,246,107,10.3,"811,132"
321,VENTURA,2022,2579,5564,2409,10.3,"811,132"
322,YOLO,2017,972,2479,912,18.7,"193,063"
323,YOLO,2018,964,2197,951,18.7,"193,063"
324,YOLO,2019,912,2268,933,18.7,"193,063"
325,YOLO,2020,900,1436,796,18.7,"193,063"
326,YOLO,2021,86,143,89,18.7,"193,063"
327,YOLO,2022,546,1024,566,18.7,"193,063"
328,YUBA,2017,618,1093,506,20.6,"70,740"
329,YUBA,2018,530,1127,412,20.6,"70,740"
330,YUBA,2019,540,1252,419,20.6,"70,740"
331,YUBA,2020,438,961,308,20.6,"70,740"
332,YUBA,2022,463,873,338,20.6,"70,740"
