,county_name,data_year,Crimes Against Persons,Crimes Against Society,Crimes Against Property,agency_count
136,ORANGE,2021,882,2321,1449,8
137,ORANGE,2022,2569,6156,3756,8
138,PLACER,2017,235,852,287,3
139,PLACER,2018,242,983,265,3
140,PLACER,2019,235,876,291,3
141,PLACER,2020,212,938,266,3
142,PLACER,2021,18,70,19,3
143,PLACER,2022,268,704,315,3
144,RIVERSIDE,2017,988,2752,1007,3
145,RIVERSIDE,2018,904,2700,840,3
146,RIVERSIDE,2019,823,2406,821,3
147,RIVERSIDE,2020,632,1973,726,3
148,RIVERSIDE,2021,417,958,458,3
149,RIVERSIDE,2022,569,1410,658,3
150,SACRAMENTO,2017,400,2656,469,2
151,SACRAMENTO,2018,451,3294,447,2
152,SACRAMENTO,2019,552,4148,646,2
153,SACRAMENTO,2020,448,2598,428,2
154,SACRAMENTO,2021,55,57,37,2
155,SACRAMENTO,2022,352,1189,357,2
156,SAN BENITO,2017,343,628,211,2
157,SAN BENITO,2018,339,712,170,2
158,SAN BENITO,2019,326,525,189,2
159,SAN BENITO,2020,291,418,137,2
160,SAN BENITO,2021,212,408,119,2
161,SAN BENITO,2022,227,427,153,2
162,SAN BERNARDINO,2017,2616,7471,3389,6
163,SAN BERNARDINO,2018,2744,7700,3361,6
164,SAN BERNARDINO,2019,2696,7625,3462,6
165,SAN BERNARDINO,2020,2527,5226,2883,6
166,SAN BERNARDINO,2021,1205,2547,1707,6
167,SAN BERNARDINO,2022,2182,4426,3451,6
168,SAN DIEGO,2017,12948,27786,11169,12
169,SAN DIEGO,2018,12325,28436,10541,12
170,SAN DIEGO,2019,12100,29468,10786,12
171,SAN DIEGO,2020,11206,26955,9068,12
172,SAN DIEGO,2021,6124,20020,6226,12
173,SAN DIEGO,2022,10094,18645,8523,12
174,SAN FRANCISCO,2017,44,81,58,1
175,SAN FRANCISCO,2018,49,33,54,1
176,SAN FRANCISCO,2019,53,44,52,1
177,SAN FRANCISCO,2020,32,12,43,1
178,SAN FRANCISCO,2021,5,1,7,1
179,SAN FRANCISCO,2022,42,8,38,1
180,SAN JOAQUIN,2017,2465,2543,2310,2
181,SAN JOAQUIN,2018,2493,2349,2191,2
182,SAN JOAQUIN,2019,2586,1869,2024,2
183,SAN JOAQUIN,2020,2404,1298,1735,2
184,SAN JOAQUIN,2021,1379,1344,1421,2
185,SAN JOAQUIN,2022,1504,1404,1791,2
186,SAN LUIS OBISPO,2017,269,1232,250,4
187,SAN LUIS OBISPO,2018,247,1065,252,4
188,SAN LUIS OBISPO,2019,198,1012,218,4
189,SAN LUIS OBISPO,2020,189,916,171,4
190,SAN LUIS OBISPO,2021,113,583,118,4
191,SAN LUIS OBISPO,2022,142,499,132,4
192,SAN MATEO,2017,396,1784,549,4
193,SAN MATEO,2018,454,1859,485,4
194,SAN MATEO,2019,474,1696,447,4
195,SAN MATEO,2020,424,974,421,4
196,SAN MATEO,2021,119,335,158,4
197,SAN MATEO,2022,360,748,456,4
198,SANTA BARBARA,2017,804,1615,462,2
199,SANTA BARBARA,2018,699,1409,422,2
200,SANTA BARBARA,2019,460,1040,366,2
201,SANTA BARBARA,2020,566,1062,355,2
202,SANTA BARBARA,2021,473,696,377,2
203,SANTA BARBARA,2022,579,816,508,2
204,SANTA CLARA,2017,1739,5270,2010,9
205,SANTA CLARA,2018,1712,4746,1823,9
206,SANTA CLARA,2019,1720,4721,1700,9
207,SANTA CLARA,2020,1486,3164,1497,9
208,SANTA CLARA,2021,359,664,393,9
209,SANTA CLARA,2022,1292,2163,1862,9
210,SANTA CRUZ,2017,679,1364,612,3
211,SANTA CRUZ,2018,743,1352,623,3
212,SANTA CRUZ,2019,786,1158,520,3
213,SANTA CRUZ,2020,653,1019,450,3
214,SANTA CRUZ,2021,114,209,61,3
215,SANTA CRUZ,2022,532,1108,377,3
216,SOLANO,2017,101,134,62,1
217,SOLANO,2018,101,180,82,1
218,SOLANO,2019,71,153,59,1
219,SOLANO,2020,96,196,107,1
