AGENCY_NAME,data_year,Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.","Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)"
Alpine County Sheriff's Department,2020,9,7,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0
Alpine County Sheriff's Department,2022,2,5,0,0,0,3,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,1,1,0
Alturas Police Department,2017,24,64,1,4,0,6,12,24,9,0,2,0,0,0,0,2,0,0,1,2,0,0,0,2,11,4,0,0,3,9,3
Alturas Police Department,2018,27,78,0,3,0,5,11,48,15,0,0,0,0,0,0,1,2,0,4,0,0,0,0,1,19,1,0,0,5,3,3
Alturas Police Department,2019,20,66,0,6,0,5,14,48,24,0,0,2,0,0,0,0,9,0,1,0,0,0,1,1,14,2,0,1,3,8,4
Alturas Police Department,2020,16,88,1,3,0,4,22,47,18,0,0,2,0,0,0,2,0,0,1,0,0,0,1,0,23,1,0,0,1,10,7
Alturas Police Department,2022,10,39,2,0,0,11,6,12,5,0,0,0,0,0,0,5,0,0,1,0,0,0,0,1,13,0,0,0,4,7,1
Amador County Sheriff's Department,2017,49,230,0,22,0,0,4,92,26,0,2,1,0,0,0,9,0,0,6,0,0,0,1,2,27,6,0,1,2,14,3
Amador County Sheriff's Department,2018,45,189,1,9,0,2,2,113,27,0,4,1,0,0,0,9,0,0,4,0,0,0,2,1,35,2,0,0,1,12,3
Amador County Sheriff's Department,2019,54,199,0,12,0,0,3,154,29,0,4,2,0,0,0,7,0,1,6,1,0,0,0,5,29,5,0,0,5,20,0
