AGENCY_NAME,data_year,Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.","Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)"
Clovis Police Department,2022,75,484,3,15,0,161,222,321,0,1,2,49,0,0,0,313,6,0,28,2,2,0,4,17,251,39,0,1,48,108,6
Coalinga Police Department,2017,54,251,1,4,0,4,48,87,15,1,1,1,0,0,0,22,1,0,0,0,0,0,0,5,43,1,0,0,4,23,5
Coalinga Police Department,2018,43,210,0,2,0,7,60,103,29,1,2,0,0,0,0,5,0,0,6,0,0,0,1,2,30,5,0,0,2,27,1
Coalinga Police Department,2019,22,145,0,3,0,3,37,85,19,0,4,2,0,0,0,6,0,0,5,0,0,0,0,0,37,1,0,2,4,10,2
Coalinga Police Department,2020,34,132,1,7,0,1,37,111,8,0,4,1,0,0,0,1,0,0,6,0,0,0,0,2,44,1,0,1,2,25,2
Coalinga Police Department,2022,42,195,7,10,0,0,12,87,5,0,1,1,0,0,0,2,0,0,1,0,0,0,2,0,42,3,0,0,8,15,1
Colma Police Department,2017,7,44,0,33,0,2,28,142,13,0,4,3,0,0,0,96,0,0,7,0,0,0,0,5,29,20,0,0,5,16,2
Colma Police Department,2018,11,85,0,42,0,0,28,150,17,3,2,6,0,0,0,124,0,0,11,1,0,0,0,2,24,23,0,0,1,13,0
Colma Police Department,2019,9,69,0,48,0,0,32,154,18,2,0,2,0,0,0,96,0,0,15,0,0,0,0,8,25,10,0,0,5,11,0
Colma Police Department,2020,6,32,0,20,0,0,20,95,8,2,0,2,0,0,0,43,0,0,4,0,0,0,0,7,14,10,0,1,4,5,3
Colma Police Department,2022,8,90,1,17,0,7,20,77,1,3,1,15,0,0,0,203,0,0,6,0,0,0,0,4,27,38,0,0,3,16,0
Colton Police Department,2017,122,1113,1,64,0,7,137,400,97,1,2,11,0,0,0,37,0,1,19,7,6,1,0,24,85,40,0,2,30,55,18
Colton Police Department,2018,80,1085,5,47,0,5,141,589,28,0,1,11,0,0,0,48,1,0,29,9,8,0,0,22,108,34,0,29,36,44,10
Colton Police Department,2019,91,772,1,52,0,5,120,443,87,0,5,8,0,0,0,23,0,0,22,1,3,0,0,24,88,26,0,5,27,47,14
Colton Police Department,2020,71,495,2,30,0,2,73,431,27,1,0,2,0,0,0,28,0,0,30,3,1,0,3,21,94,19,0,4,46,49,10
Colton Police Department,2021,33,276,1,19,0,18,76,220,0,0,1,6,3,0,0,27,1,0,15,3,0,0,1,9,85,41,0,2,44,42,3
Colton Police Department,2022,45,264,2,11,0,55,87,130,0,1,0,6,0,0,0,27,0,0,15,4,0,0,1,7,86,21,0,2,31,25,1
Colusa County Sheriff's Department,2017,28,335,1,5,0,2,13,110,14,1,2,5,0,0,0,12,0,0,2,1,0,0,3,0,24,3,0,3,11,9,4
Colusa County Sheriff's Department,2018,24,354,0,8,0,0,13,100,9,0,0,7,0,0,0,5,0,0,0,2,0,1,1,1,37,12,0,0,7,9,5
Colusa County Sheriff's Department,2019,23,378,1,5,0,5,11,99,15,0,1,3,0,0,0,7,0,0,0,0,0,0,0,1,37,8,0,0,12,1,1
Colusa County Sheriff's Department,2020,24,234,0,6,0,6,13,70,10,0,1,7,0,0,0,16,2,0,3,0,1,0,0,0,29,5,0,0,9,12,5
Colusa County Sheriff's Department,2022,20,259,1,6,0,0,16,70,17,0,2,8,0,0,0,12,3,0,0,0,0,0,0,0,30,6,0,1,9,15,3
Colusa Police Department,2017,15,24,0,0,0,0,38,88,11,0,0,1,0,0,0,2,0,0,3,0,0,0,0,3,14,2,0,0,3,4,2
Colusa Police Department,2018,12,19,0,2,0,1,45,83,32,0,5,0,0,0,0,6,0,0,2,0,0,0,1,0,28,2,0,0,2,2,0
Colusa Police Department,2019,15,30,0,1,0,0,17,62,20,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,30,2,0,0,1,0,1
Colusa Police Department,2020,11,23,0,2,0,1,18,112,7,0,2,2,0,0,0,1,0,0,6,0,0,0,0,0,19,0,0,0,3,0,0
Colusa Police Department,2022,11,23,0,1,0,2,20,56,7,0,2,0,0,0,0,3,0,0,2,0,0,0,0,1,15,0,0,0,4,1,0
Concord Police Department,2017,220,392,5,95,0,7,213,846,227,1,8,34,0,0,0,155,4,0,95,4,0,15,7,58,299,58,0,5,29,79,22
Concord Police Department,2018,214,723,9,91,0,4,225,676,222,8,5,18,0,0,0,122,3,0,48,3,0,5,4,69,279,40,0,3,31,75,17
Concord Police Department,2019,210,932,9,108,0,7,247,666,188,8,5,11,0,0,0,123,0,0,86,3,0,2,5,66,274,62,0,3,35,58,29
Concord Police Department,2020,170,314,12,47,0,2,180,398,60,2,5,8,0,0,0,69,1,0,39,2,0,2,2,43,211,54,0,6,33,54,14
Concord Police Department,2021,149,769,15,38,0,10,182,397,0,2,4,13,0,0,0,64,1,0,55,3,0,0,3,28,182,43,0,4,35,77,4
Concord Police Department,2022,187,807,21,30,0,12,289,484,0,5,3,28,0,0,0,60,0,1,26,3,0,0,7,38,255,57,0,5,51,67,7
Contra Costa Community College Police Department,2017,0,5,1,6,0,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Contra Costa Community College Police Department,2018,1,3,0,0,0,4,0,1,1,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,4,0,0,0,2,1,1
Contra Costa Community College Police Department,2019,0,3,0,1,0,4,1,3,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,4,1,0,0,1,0,2
Contra Costa Community College Police Department,2020,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
Contra Costa Community College Police Department,2022,1,4,0,5,0,6,1,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,1,2,0
Contra Costa County Sheriff's Department,2017,448,1209,10,256,0,8,307,1090,78,3,29,32,0,0,0,205,2,0,147,26,4,0,18,109,460,294,0,2,74,231,58
Contra Costa County Sheriff's Department,2018,427,1424,11,274,0,0,237,1026,49,4,30,33,1,0,0,225,1,3,179,35,4,6,20,108,476,210,0,3,95,199,60
Contra Costa County Sheriff's Department,2019,437,1390,31,252,0,4,238,685,36,5,28,26,0,0,0,164,1,4,144,61,5,3,23,104,409,300,0,2,77,207,62
Contra Costa County Sheriff's Department,2020,342,696,13,174,0,3,88,280,31,2,12,15,0,0,0,104,1,8,79,36,1,2,12,76,233,200,0,0,59,147,27
Contra Costa County Sheriff's Department,2022,313,654,13,99,0,23,70,253,15,3,5,13,0,0,0,106,0,2,42,25,0,2,19,54,304,181,0,3,72,173,13
Corcoran Police Department,2017,55,233,0,10,17,7,41,145,42,0,0,3,0,0,0,5,1,0,8,1,0,0,3,5,45,2,0,0,12,17,3
Corcoran Police Department,2018,67,365,1,22,20,8,50,106,45,0,1,0,0,0,0,9,0,0,10,0,2,0,2,5,39,10,0,0,4,18,5
Corcoran Police Department,2019,52,282,0,12,25,5,66,120,53,0,2,2,0,0,0,8,1,0,2,0,0,0,5,1,32,6,0,0,7,13,6
Corcoran Police Department,2020,71,198,1,15,4,2,58,78,27,0,1,3,0,0,0,3,0,0,9,2,0,0,4,2,18,13,0,0,9,24,4
Corcoran Police Department,2021,14,90,0,0,0,25,32,6,0,0,0,0,0,0,0,2,0,0,1,0,0,0,3,1,14,1,0,0,1,3,0
Corcoran Police Department,2022,33,282,0,7,0,41,37,30,0,1,3,3,0,0,0,7,1,1,7,5,1,0,3,4,31,4,0,0,5,28,9
Corning Police Department,2017,14,36,1,3,2,1,35,124,34,0,0,0,1,0,0,5,0,0,5,0,0,0,1,4,16,20,0,0,6,22,3
Corning Police Department,2018,14,36,0,2,1,0,37,207,52,1,2,0,0,0,0,3,1,0,3,1,0,0,2,0,25,17,0,3,1,12,3
Corning Police Department,2019,12,53,0,5,0,1,40,284,52,0,2,1,0,0,0,15,1,0,1,0,0,0,0,4,46,31,0,1,7,15,5
Corning Police Department,2020,12,34,2,4,1,0,25,162,39,1,0,1,0,0,0,3,1,0,0,0,2,0,0,0,27,16,0,0,0,4,1
Corning Police Department,2021,2,77,0,0,0,20,13,34,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,4,10,0,2,2,5,0
Corning Police Department,2022,13,94,1,4,0,39,18,69,0,0,3,8,0,0,0,3,0,0,0,0,0,0,1,0,12,16,0,0,6,18,4
Corona Police Department,2017,163,1633,7,72,0,5,316,785,252,7,12,26,1,0,0,161,11,0,54,3,2,8,9,39,204,76,0,3,55,75,37
Corona Police Department,2018,154,1511,5,71,0,5,250,566,190,11,8,29,11,0,0,180,14,0,39,2,1,1,5,43,166,81,0,2,59,75,39
Corona Police Department,2019,196,989,12,66,0,2,243,503,103,5,3,7,4,0,0,204,13,0,33,2,0,0,14,35,194,66,0,4,56,53,25
Corona Police Department,2020,158,592,7,53,0,2,143,251,65,5,2,8,0,0,0,124,13,1,61,0,1,0,6,42,164,55,0,0,62,45,30
Corona Police Department,2022,167,1008,12,54,0,50,164,482,74,4,14,29,2,0,0,133,4,0,39,6,1,1,9,34,269,85,0,1,74,99,20
Coronado Police Department,2017,34,51,1,7,0,0,68,44,39,0,3,0,0,0,0,40,5,0,2,0,0,0,1,6,7,5,0,1,5,2,1
Coronado Police Department,2018,24,41,0,9,0,0,73,66,36,0,0,1,0,0,0,20,1,0,7,0,0,0,0,2,21,8,0,0,2,7,0
Coronado Police Department,2019,24,35,0,18,0,1,73,71,59,1,2,0,0,0,0,23,2,0,4,0,0,1,2,3,22,0,0,0,2,3,1
Coronado Police Department,2020,22,32,0,9,0,0,47,77,38,0,2,4,0,0,0,23,1,0,2,0,0,0,0,5,16,8,0,1,5,5,1
Coronado Police Department,2021,6,15,1,3,0,20,39,6,0,0,0,2,0,0,0,2,8,0,1,0,0,0,0,2,13,9,0,0,0,3,0
Coronado Police Department,2022,14,53,0,6,2,36,165,26,0,1,2,17,0,0,0,18,8,0,3,0,0,0,0,4,28,18,0,0,6,23,1
Costa Mesa Police Department,2017,286,1170,1,248,0,17,345,1414,335,0,22,33,4,0,0,267,13,0,63,4,1,20,1,74,161,23,0,16,62,74,27
Costa Mesa Police Department,2018,239,1182,2,172,0,11,435,2069,383,4,31,45,6,0,0,225,8,0,35,1,0,9,7,58,160,52,0,18,69,72,28
Costa Mesa Police Department,2019,204,1120,5,181,0,3,524,1697,297,2,36,20,0,0,0,274,17,0,29,0,0,2,6,45,146,45,0,13,60,63,34
Costa Mesa Police Department,2020,231,738,8,143,0,8,392,1806,185,4,17,19,0,0,0,146,7,0,48,3,0,0,5,43,172,29,0,19,84,59,25
Costa Mesa Police Department,2022,243,1235,7,184,0,9,889,1760,291,1,12,25,0,0,0,456,4,0,29,1,0,15,7,54,246,41,0,23,106,76,74
Cotati Police Department,2017,20,104,0,10,0,0,65,119,28,0,1,2,0,0,0,2,12,0,0,0,0,0,0,1,39,6,0,1,5,4,1
Cotati Police Department,2018,23,93,0,5,0,0,78,115,35,0,2,1,0,0,0,1,0,0,0,0,0,0,3,2,57,12,0,0,6,8,1
Cotati Police Department,2019,19,48,0,7,0,4,100,98,25,0,1,2,0,0,0,6,2,0,0,1,0,0,0,1,39,2,0,0,4,7,0
Cotati Police Department,2020,15,45,0,6,0,0,38,56,8,0,1,1,0,0,0,4,1,0,2,1,0,0,0,0,34,4,0,1,1,4,2
Cotati Police Department,2022,15,90,0,4,0,1,36,23,0,0,0,7,0,0,0,6,2,0,0,0,1,0,0,0,27,11,0,0,3,11,1
Covina Police Department,2017,106,160,1,138,0,2,156,587,325,1,10,26,1,0,0,104,1,0,57,3,0,0,5,26,118,29,0,0,40,22,15
Covina Police Department,2018,101,161,0,124,0,2,188,761,420,1,5,41,0,0,0,74,2,0,37,2,2,0,3,36,143,21,0,3,42,37,14
Covina Police Department,2019,96,336,2,162,0,15,116,860,287,0,9,34,0,0,0,86,1,0,32,1,0,0,4,29,176,23,0,7,44,36,12
Covina Police Department,2020,68,281,3,93,0,0,88,975,19,0,6,32,0,0,0,56,0,0,39,5,2,1,0,21,122,20,0,1,42,68,10
Covina Police Department,2021,36,338,0,24,0,190,95,223,0,0,1,15,15,0,0,30,0,0,37,3,0,0,1,16,58,25,0,0,20,25,5
Covina Police Department,2022,73,615,4,36,0,440,150,456,0,5,12,37,1,0,0,40,5,0,38,6,0,0,1,19,133,49,0,0,47,61,5
Crescent City Police Department,2017,52,158,0,47,0,6,32,138,168,0,1,7,0,0,0,23,4,0,7,0,0,0,0,10,70,18,0,0,7,12,6
Crescent City Police Department,2018,45,169,0,50,0,8,46,253,158,0,0,4,0,0,0,31,0,0,1,1,0,0,1,4,61,10,0,5,18,24,1
Crescent City Police Department,2019,35,196,0,40,0,6,18,171,141,0,0,8,0,0,0,27,0,0,3,0,0,0,0,6,57,15,0,2,12,27,8
Crescent City Police Department,2020,48,124,2,20,0,3,20,106,15,0,2,2,0,0,0,10,3,0,3,0,1,0,0,8,64,0,0,8,11,8,7
Crescent City Police Department,2022,34,158,7,40,0,74,10,95,2,0,0,4,0,0,0,102,1,0,1,0,0,0,2,8,74,19,0,4,15,15,2
Culver City Police Department,2017,70,194,2,92,0,2,70,346,19,0,18,8,0,0,0,538,2,0,44,0,0,0,1,114,86,3,0,0,16,44,14
Culver City Police Department,2018,70,206,0,78,0,9,123,430,22,1,9,9,0,0,0,459,0,0,24,0,1,2,0,62,87,18,0,1,19,57,17
Culver City Police Department,2019,78,151,1,85,0,2,136,524,51,2,45,11,0,0,0,563,1,0,24,0,4,0,0,83,91,15,0,2,22,64,14
Culver City Police Department,2020,66,82,5,112,2,5,60,256,20,2,16,5,0,0,0,233,0,0,37,1,0,0,1,53,64,6,0,0,12,64,9
Culver City Police Department,2021,58,151,3,32,0,17,129,40,0,7,5,24,0,0,0,122,1,0,19,0,0,0,1,22,59,11,0,0,28,41,2
Culver City Police Department,2022,73,297,4,53,0,25,180,147,0,3,6,33,0,0,0,286,0,0,22,0,1,0,3,48,81,12,0,0,50,46,2
Cypress Police Department,2017,41,75,1,56,0,0,37,315,15,0,11,13,0,0,0,25,13,0,4,0,0,0,1,7,43,15,0,0,10,20,4
Cypress Police Department,2018,35,77,2,46,0,1,55,516,4,0,12,6,0,0,0,30,3,0,4,2,0,3,2,13,40,23,0,0,7,24,5
Cypress Police Department,2019,48,54,0,41,0,0,70,369,13,0,5,2,0,0,0,32,3,0,3,1,0,6,2,4,29,13,0,0,8,21,6
Cypress Police Department,2020,37,39,4,48,0,0,27,224,5,0,1,6,0,0,0,26,0,0,2,0,0,3,0,4,38,18,0,0,13,10,3
Cypress Police Department,2022,25,306,2,26,0,15,63,196,0,0,10,19,0,0,0,24,3,0,4,1,0,0,0,9,40,35,0,1,22,13,0
Daly City Police Department,2017,196,270,5,137,0,12,92,601,104,14,5,16,0,0,0,65,4,2,22,0,0,1,6,52,180,38,0,1,47,76,46
Daly City Police Department,2018,220,269,3,159,0,14,97,578,99,8,4,5,0,0,0,60,0,0,21,5,0,7,11,56,174,28,0,1,26,44,28
Daly City Police Department,2019,257,332,3,168,0,3,87,488,142,5,7,11,0,0,0,76,2,0,20,0,0,2,9,49,193,53,0,1,39,49,35
Daly City Police Department,2020,161,169,5,79,0,1,43,348,44,2,6,4,0,0,0,33,0,0,19,0,0,1,3,43,104,26,0,2,15,44,32
Daly City Police Department,2022,142,442,6,30,0,79,77,284,3,2,8,18,0,0,0,219,0,0,3,0,0,0,2,43,180,38,0,1,48,59,3
Davis Police Department,2017,46,184,1,41,0,7,85,199,142,1,2,2,0,0,0,24,13,0,20,1,1,0,3,8,66,12,0,6,10,24,15
Davis Police Department,2018,36,159,3,45,0,1,64,167,135,2,0,1,0,0,0,32,2,0,10,1,0,0,1,13,54,3,0,9,8,17,7
Davis Police Department,2019,56,205,0,35,0,0,60,205,115,0,0,3,0,0,0,27,2,0,8,0,0,0,0,12,32,7,0,6,11,9,5
Davis Police Department,2020,53,163,2,35,0,2,40,92,62,0,0,2,0,0,0,29,0,0,19,0,0,0,2,9,69,13,0,10,16,6,2
Davis Police Department,2021,4,51,0,1,0,9,14,5,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,15,0,0,0,5,3,0
Davis Police Department,2022,39,257,1,13,0,70,81,55,0,0,3,13,0,0,0,38,0,0,5,0,0,0,0,12,69,5,0,5,23,17,2
Del Norte County Sheriff's Department,2017,120,77,3,21,0,1,2,96,115,0,0,4,0,0,0,14,1,0,3,5,2,1,3,4,74,5,0,0,4,22,5
Del Norte County Sheriff's Department,2018,80,61,0,23,0,3,8,88,119,0,1,1,0,0,0,22,0,0,5,1,3,0,1,4,96,4,0,3,13,10,8
Del Norte County Sheriff's Department,2019,75,60,3,23,0,1,4,59,142,0,1,2,0,0,0,48,0,0,1,1,1,0,1,2,79,6,0,3,12,11,5
Del Norte County Sheriff's Department,2020,58,63,3,6,0,2,10,55,89,0,0,1,0,0,0,23,0,0,1,2,3,0,3,4,48,5,0,4,5,9,3
Del Norte County Sheriff's Department,2022,68,99,7,16,0,1,4,45,83,0,1,2,0,0,0,18,0,0,2,2,0,0,1,1,58,3,0,1,11,10,5
Del Rey Oaks Police Department,2017,1,4,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0
Del Rey Oaks Police Department,2018,1,3,0,3,0,0,3,3,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0
Del Rey Oaks Police Department,2019,0,3,0,2,0,0,1,5,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,3,0,0,0,1,0,0
Del Rey Oaks Police Department,2020,0,3,0,1,0,0,3,3,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,6,0,0,0,0,0,0
Del Rey Oaks Police Department,2021,1,0,0,1,0,2,2,1,0,0,0,1,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Del Rey Oaks Police Department,2022,1,8,0,0,0,1,1,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Delano Police Department,2017,89,354,0,51,0,5,49,179,37,0,6,8,0,0,0,13,6,1,9,1,0,3,0,18,128,44,0,0,22,40,7
Delano Police Department,2018,97,458,3,45,0,5,31,236,45,0,3,3,1,0,0,9,1,0,36,6,1,3,0,17,118,21,0,2,10,46,7
Delano Police Department,2019,77,734,3,35,0,7,37,226,34,0,5,5,0,0,0,9,1,1,19,3,2,0,1,11,140,16,0,0,27,32,15
Delano Police Department,2020,45,685,7,23,0,1,28,178,18,0,2,4,0,0,0,6,2,0,10,2,1,0,3,7,73,8,0,2,10,15,9
Delano Police Department,2021,3,65,0,0,0,2,6,7,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,8,1,0,0,0,5,0
Delano Police Department,2022,23,378,3,5,0,47,46,67,0,0,3,6,0,0,0,17,6,0,9,0,0,0,3,8,86,12,0,0,17,40,2
Desert Hot Springs Police Department,2017,118,197,1,43,0,0,38,70,25,0,6,0,0,0,0,2,1,0,8,1,1,0,1,10,77,34,0,5,19,22,4
Desert Hot Springs Police Department,2018,131,104,2,32,0,0,32,113,15,0,2,4,0,0,0,11,0,1,8,3,0,0,0,13,98,24,0,0,9,41,5
Desert Hot Springs Police Department,2019,108,49,0,34,0,3,76,58,15,1,0,3,0,0,0,2,0,1,7,2,2,0,1,17,86,21,0,1,7,44,9
Desert Hot Springs Police Department,2020,93,42,0,11,0,1,43,106,12,2,2,4,0,0,0,3,0,0,12,4,0,0,3,14,75,22,0,1,7,47,6
Desert Hot Springs Police Department,2022,88,190,2,13,0,10,50,51,16,0,0,1,0,0,0,7,0,1,6,4,2,0,3,13,76,8,0,2,10,25,4
Dinuba Police Department,2017,79,511,1,32,2,4,215,269,29,0,2,5,0,0,0,32,1,0,5,0,2,0,1,10,119,20,0,0,28,27,11
Dinuba Police Department,2018,95,408,0,49,1,2,125,200,28,1,2,9,0,0,0,36,1,1,4,0,0,0,4,25,113,26,0,0,22,16,9
Dinuba Police Department,2019,103,315,2,36,0,0,117,161,35,0,1,0,0,0,0,31,3,0,7,1,0,0,2,17,126,8,0,0,24,17,12
Dinuba Police Department,2020,97,250,2,16,0,0,81,112,30,0,1,4,0,0,0,21,0,0,2,1,0,0,2,13,76,8,0,0,10,14,12
Dinuba Police Department,2021,51,112,1,2,0,29,65,75,0,0,2,5,0,0,0,13,0,0,7,1,0,0,0,3,121,6,0,0,7,18,2
Dinuba Police Department,2022,44,116,2,4,0,44,121,88,0,0,3,6,0,0,0,47,0,0,0,1,1,0,1,9,139,16,0,0,21,27,4
Dixon Police Department,2017,36,81,1,27,0,1,35,73,23,0,0,3,0,0,0,4,2,0,1,0,0,0,1,0,60,10,0,0,5,11,4
Dixon Police Department,2018,33,193,0,46,0,0,68,89,21,1,1,2,0,0,0,11,0,0,1,0,0,0,2,2,58,9,0,2,2,7,8
Dixon Police Department,2019,36,140,1,18,0,2,54,68,23,1,2,3,0,0,0,6,0,0,4,0,0,0,2,4,29,9,0,6,6,5,4
Dixon Police Department,2020,45,111,0,20,0,0,48,131,15,0,5,10,0,0,0,13,1,0,4,0,0,0,0,5,49,17,0,1,11,22,2
Dixon Police Department,2021,27,111,0,7,0,18,45,91,0,2,0,2,0,0,0,26,0,0,1,0,0,0,3,2,44,13,0,2,12,19,1
Dixon Police Department,2022,36,34,2,5,0,16,42,57,0,0,5,4,0,0,0,21,0,0,1,0,0,0,3,3,62,12,0,0,14,15,2
Dos Palos Police Department,2017,17,34,3,8,3,1,4,31,0,0,1,2,0,0,0,7,2,0,1,2,0,0,1,1,15,3,0,0,3,9,1
Dos Palos Police Department,2018,11,19,0,9,1,0,3,25,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,14,2,0,3,3,2,0
Dos Palos Police Department,2019,26,72,0,6,0,0,3,70,23,0,5,3,0,0,0,7,0,0,3,0,0,0,0,1,22,4,0,0,3,10,1
Dos Palos Police Department,2020,37,53,2,12,0,0,8,78,11,0,2,3,0,0,0,4,1,0,0,1,3,0,0,3,22,6,0,0,4,8,0
Dos Palos Police Department,2022,10,46,0,2,0,10,6,18,0,0,1,5,0,0,0,4,2,0,2,0,0,0,0,2,31,1,0,0,1,3,0
Downey Police Department,2017,216,460,2,139,27,8,332,393,124,6,9,24,0,0,0,315,17,0,222,7,1,0,5,66,131,26,0,1,49,40,23
Downey Police Department,2018,213,557,2,79,26,46,418,515,165,5,7,11,0,0,0,290,16,0,184,2,1,2,6,47,190,12,0,2,60,40,17
Downey Police Department,2019,190,465,0,64,7,4,378,455,105,7,9,23,1,0,0,431,19,0,139,5,1,8,9,65,140,19,0,0,57,28,26
Downey Police Department,2020,190,256,5,61,16,6,194,242,64,1,3,10,1,0,0,180,6,0,176,5,1,0,2,35,129,12,0,0,55,29,27
Downey Police Department,2022,235,285,6,38,11,7,229,239,59,2,0,10,5,0,0,168,1,0,101,9,0,2,4,52,156,15,0,6,66,55,18
El Cajon Police Department,2017,248,692,3,74,0,9,138,666,281,4,4,9,0,0,0,268,4,1,77,0,0,1,1,48,219,18,0,994,39,52,21
El Cajon Police Department,2018,311,939,5,64,1,8,113,909,323,4,0,12,0,0,0,252,8,0,82,4,0,0,5,71,233,38,0,777,55,73,24
El Cajon Police Department,2019,340,913,5,69,1,4,173,1134,397,4,14,5,0,0,0,328,2,0,51,2,0,1,0,65,194,33,0,452,60,87,16
El Cajon Police Department,2020,405,580,15,51,0,3,160,1469,476,2,1,12,0,0,0,239,1,0,48,0,0,0,2,41,191,22,0,163,51,98,23
El Cajon Police Department,2021,69,1612,4,17,0,353,127,565,0,0,10,20,0,0,0,52,4,0,13,1,0,0,1,15,131,23,0,110,24,69,1
El Cajon Police Department,2022,150,1008,6,45,0,338,140,557,0,0,7,25,0,0,0,81,0,0,19,0,0,1,2,42,333,77,0,211,65,91,4
El Camino College Police Department,2017,2,25,0,1,0,5,0,36,5,0,0,0,0,0,0,4,3,0,1,0,0,0,0,0,10,0,0,0,0,8,2
El Camino College Police Department,2018,1,8,0,0,0,3,2,29,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,1,8,1
El Camino College Police Department,2019,2,5,1,0,0,2,0,7,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,1,0,0,0,0,1,0
El Camino College Police Department,2020,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
El Camino College Police Department,2022,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Centro Police Department,2017,104,464,4,69,0,3,58,270,25,1,2,3,0,0,0,79,1,0,6,0,1,0,4,15,189,27,0,5,31,26,9
El Centro Police Department,2018,89,462,4,68,0,4,76,297,13,2,5,13,0,0,0,68,0,0,11,0,0,0,3,12,167,23,0,9,31,21,11
El Centro Police Department,2019,81,424,2,78,1,8,69,284,14,1,4,12,0,0,0,47,1,0,9,1,0,0,1,20,168,23,0,5,31,22,8
El Centro Police Department,2020,96,173,2,32,0,1,39,142,1,0,2,3,1,0,0,18,0,0,10,1,0,0,2,23,125,30,0,1,19,18,5
El Centro Police Department,2022,60,347,8,15,0,2,92,88,0,1,0,9,0,0,0,35,5,1,4,2,0,0,0,12,145,15,0,1,24,12,2
El Cerrito Police Department,2017,43,182,1,183,0,1,75,147,43,0,5,13,0,0,0,14,2,0,30,1,0,0,1,29,61,11,0,1,5,17,4
El Cerrito Police Department,2018,25,100,4,162,0,0,83,108,49,0,1,9,0,0,0,15,0,0,21,0,1,1,1,24,65,5,0,0,13,12,3
El Cerrito Police Department,2019,25,87,0,51,0,1,88,41,29,0,1,2,0,0,0,22,0,0,5,1,2,2,1,15,40,11,0,1,8,6,4
El Cerrito Police Department,2020,22,42,3,32,0,1,37,30,14,4,2,3,0,0,0,14,0,0,9,0,0,0,0,15,27,5,0,1,11,2,2
El Cerrito Police Department,2021,11,27,1,2,0,0,18,10,0,0,0,3,0,0,0,32,0,0,1,0,0,0,0,3,16,6,0,1,2,3,0
El Cerrito Police Department,2022,17,58,2,5,0,0,17,13,0,0,1,3,0,0,0,38,0,0,2,0,1,0,0,9,26,1,0,1,18,4,0
El Dorado County Sheriff's Department,2017,306,836,2,89,0,5,71,906,51,1,25,31,0,0,0,110,23,0,22,6,0,14,7,18,368,41,0,14,63,86,31
El Dorado County Sheriff's Department,2018,266,878,3,63,0,23,61,674,48,5,17,34,0,0,0,104,40,0,26,4,0,5,2,15,360,33,0,13,47,75,25
El Dorado County Sheriff's Department,2019,293,824,2,77,0,14,61,603,41,2,10,30,0,0,0,94,12,1,25,8,1,1,5,16,266,32,0,3,39,51,18
El Dorado County Sheriff's Department,2020,315,662,3,73,0,6,100,744,58,1,11,19,0,0,0,72,12,1,26,3,1,0,6,22,290,31,0,5,47,77,28
El Dorado County Sheriff's Department,2021,92,395,2,21,0,53,31,310,0,1,7,24,0,0,0,35,4,0,13,0,0,0,4,6,259,17,0,0,31,54,3
