AGENCY_NAME,data_year,Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.","Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)"
Arroyo Grande Police Department,2018,39,77,2,4,0,2,80,111,53,0,9,3,0,0,0,41,16,0,4,0,0,0,2,1,39,12,0,13,8,10,10
Arroyo Grande Police Department,2019,39,67,1,5,0,0,104,100,45,0,10,4,0,0,0,20,9,0,6,0,0,0,0,7,22,8,0,10,7,5,5
Arroyo Grande Police Department,2020,24,75,2,6,0,0,72,112,26,0,6,1,0,0,0,13,3,0,1,0,0,0,1,2,18,3,0,9,6,13,8
Arroyo Grande Police Department,2021,27,35,0,0,0,29,1,33,0,0,1,1,0,0,0,8,0,0,3,0,0,0,1,0,19,8,0,2,1,4,1
Arroyo Grande Police Department,2022,24,31,1,5,0,49,0,51,0,0,0,0,0,0,0,16,2,0,0,0,0,0,0,1,15,1,0,3,9,9,0
Atascadero Police Department,2017,67,440,0,8,0,4,95,192,94,0,2,2,0,0,0,40,1,0,5,0,0,0,2,14,49,10,0,6,16,4,6
Atascadero Police Department,2018,52,532,1,10,0,1,133,262,77,0,0,5,0,0,0,34,0,0,15,0,0,0,3,6,54,16,0,12,7,8,3
Atascadero Police Department,2019,41,353,0,9,0,2,132,224,71,1,0,6,0,0,0,28,1,0,18,0,0,0,1,6,47,9,0,11,8,13,4
Atascadero Police Department,2020,45,208,0,7,0,1,118,294,60,0,1,5,0,0,0,20,0,0,8,0,0,0,0,6,45,6,0,8,10,11,4
Atascadero Police Department,2021,13,69,1,1,0,40,114,126,0,0,1,1,0,0,0,15,0,0,3,0,0,0,0,3,23,0,0,4,0,13,1
Atascadero Police Department,2022,38,59,1,9,0,47,70,112,0,1,0,6,0,0,0,12,0,0,2,0,0,0,2,3,28,3,0,0,5,8,0
Auburn Police Department,2017,29,218,0,22,0,1,95,87,122,0,2,0,0,0,0,6,1,0,6,2,0,1,1,4,43,5,0,2,5,4,5
Auburn Police Department,2018,43,109,2,10,0,3,82,68,68,1,5,3,0,0,0,7,7,0,1,0,0,11,1,8,41,2,0,1,6,3,3
Auburn Police Department,2019,40,53,1,11,0,0,76,49,67,1,3,5,0,0,0,8,3,0,2,0,0,5,0,5,33,7,0,1,8,2,8
Auburn Police Department,2020,11,65,0,5,0,1,50,45,33,1,0,0,0,0,0,4,2,0,1,0,4,2,2,3,26,3,0,3,4,3,7
Auburn Police Department,2021,1,4,0,0,0,5,17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Auburn Police Department,2022,26,64,3,11,1,34,107,23,0,2,2,3,0,0,0,7,3,0,0,0,1,0,5,2,63,1,0,0,16,10,2
Baldwin Park Police Department,2017,151,447,3,87,0,3,78,417,66,4,8,7,0,0,0,40,0,1,50,1,1,0,3,20,104,13,0,16,43,48,7
Baldwin Park Police Department,2018,127,486,0,114,0,3,90,403,73,1,2,6,0,0,0,50,6,0,42,1,0,0,5,15,121,17,0,45,33,54,16
Baldwin Park Police Department,2019,101,387,1,85,0,0,119,331,66,0,4,0,1,0,0,35,0,1,45,0,1,0,3,18,85,12,0,1,20,47,12
Baldwin Park Police Department,2020,99,184,1,49,0,0,65,135,43,0,3,2,1,0,0,8,1,0,27,1,1,0,1,22,72,4,0,0,23,21,9
Baldwin Park Police Department,2021,60,179,4,17,0,20,53,38,0,0,2,4,0,0,0,48,0,0,6,1,0,0,2,13,62,2,0,2,34,20,2
Baldwin Park Police Department,2022,107,272,7,19,0,34,91,57,0,2,1,6,10,0,0,17,0,0,20,1,2,0,5,24,71,18,0,0,43,65,2
Beaumont Police Department,2017,91,520,1,29,0,5,62,241,26,0,8,5,0,0,0,33,0,0,2,1,1,0,2,13,65,48,0,8,20,28,7
Beaumont Police Department,2018,60,446,0,36,0,1,44,238,30,2,4,4,0,0,0,31,0,0,1,0,0,0,2,10,64,30,0,3,14,19,2
Beaumont Police Department,2019,44,256,1,40,0,0,39,172,23,1,6,5,0,0,0,28,0,0,5,0,5,0,1,6,57,23,0,1,10,15,4
Beaumont Police Department,2020,56,219,0,33,0,1,38,177,10,0,5,1,0,0,0,13,0,0,3,0,1,0,0,2,40,28,0,0,12,17,4
Beaumont Police Department,2021,79,179,2,15,0,8,53,156,0,0,7,6,0,0,0,38,0,0,6,0,0,0,2,7,32,35,0,0,14,29,0
Beaumont Police Department,2022,67,115,0,11,0,9,55,84,0,0,4,4,0,0,0,43,0,0,3,1,0,0,0,7,29,28,0,1,11,29,3
Belmont Police Department,2017,19,36,1,12,0,1,37,31,39,0,0,0,0,0,0,9,3,0,1,1,0,0,0,3,19,3,0,0,2,3,0
Belmont Police Department,2018,20,44,0,16,0,0,32,36,39,0,0,0,0,0,0,5,0,0,0,0,0,1,0,4,18,3,0,1,2,4,3
Belmont Police Department,2019,15,36,0,8,0,0,25,59,35,0,0,0,0,0,0,11,0,0,5,0,0,1,1,2,16,2,0,2,1,9,2
Belmont Police Department,2020,18,23,0,12,0,0,16,83,23,0,1,0,0,0,0,17,1,0,3,0,0,0,2,4,10,5,0,0,5,1,5
Belmont Police Department,2021,1,40,0,5,0,17,26,11,0,0,0,2,0,0,0,13,0,0,0,0,0,3,0,0,8,2,0,0,4,3,0
Belmont Police Department,2022,6,71,1,4,0,42,44,31,0,0,1,9,0,0,0,30,0,0,1,0,0,1,1,1,24,11,0,0,3,5,0
Brea Police Department,2017,65,185,0,137,0,5,176,483,27,1,34,16,0,0,0,67,12,0,25,4,0,0,1,28,75,62,0,1,19,30,9
Brea Police Department,2018,35,137,1,136,0,11,195,572,23,0,27,31,0,0,0,69,5,0,9,0,0,0,0,3,74,55,0,0,22,37,8
Brea Police Department,2019,24,107,2,201,0,4,156,468,17,4,2,35,0,0,0,89,10,0,14,0,0,0,0,5,86,46,0,1,20,38,7
Brea Police Department,2020,28,82,3,125,0,0,116,430,11,1,2,11,0,0,0,82,1,0,12,0,0,0,1,0,47,27,0,2,18,21,4
Brea Police Department,2021,37,170,1,9,0,2,114,204,0,2,16,44,0,0,0,143,5,0,11,0,0,0,0,8,54,26,0,1,19,20,0
Brea Police Department,2022,30,132,1,21,0,14,105,110,0,5,6,26,0,0,0,236,1,0,12,0,0,0,1,9,53,20,0,1,14,20,0
Burbank Police Department,2017,169,857,3,39,13,14,209,1170,0,5,49,57,0,0,0,395,34,1,31,0,0,26,2,48,221,19,0,2,68,68,18
Burbank Police Department,2018,170,679,5,42,3,15,227,1337,0,2,52,70,0,0,0,405,21,0,14,0,0,4,3,44,238,36,0,0,40,71,17
Burbank Police Department,2019,173,534,3,78,5,7,218,1254,0,4,89,58,0,0,0,378,10,0,28,3,0,2,2,27,240,24,0,2,40,50,23
Burbank Police Department,2020,153,309,3,91,2,2,182,987,0,1,125,39,0,0,0,284,7,0,35,0,1,9,3,44,148,46,0,3,66,36,13
Burbank Police Department,2021,11,69,0,3,0,18,21,26,0,0,1,16,0,0,0,39,0,0,1,0,0,0,0,3,18,9,0,0,10,6,0
Burbank Police Department,2022,140,1569,15,92,2,255,267,521,0,2,59,175,0,0,0,509,3,0,24,0,0,0,4,52,195,79,0,0,117,131,5
CA Highway Patrol - Sacramento,2017,20,356,0,0,0,0,1607,479,26,0,0,4,0,0,0,0,0,0,59,0,0,0,0,0,5,2,0,0,4,1,1
CA Highway Patrol - Sacramento,2018,25,228,2,0,0,0,2208,505,21,1,1,1,0,0,0,0,0,1,46,0,0,0,1,1,22,4,0,1,4,0,7
CA Highway Patrol - Sacramento,2019,37,269,0,10,0,1,2829,628,49,0,1,92,0,0,0,20,2,6,32,2,1,3,0,0,69,9,0,2,22,22,7
CA Highway Patrol - Sacramento,2020,47,353,7,2,0,16,2027,150,20,3,2,56,0,0,0,8,2,4,10,1,1,0,0,1,62,3,0,1,28,38,2
CA Highway Patrol - Sacramento,2021,0,2,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA Highway Patrol - Sacramento,2022,0,26,0,0,0,0,831,10,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,2,2,0
CSU Long Beach Police Department,2017,0,11,0,1,0,2,4,12,3,0,0,1,0,0,0,9,0,0,1,0,0,0,0,0,10,1,0,0,1,3,0
CSU Long Beach Police Department,2018,2,6,0,0,0,4,1,14,4,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,5,0,0,0,0,1,1
CSU Long Beach Police Department,2019,2,8,0,2,0,5,9,8,3,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,4,0,0,0,1,1,0
CSU Long Beach Police Department,2020,0,8,1,1,0,0,3,2,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,1,2,0,0,0,1,0
CSU Long Beach Police Department,2021,0,6,0,0,0,0,2,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0
CSU Long Beach Police Department,2022,1,17,0,1,0,3,4,6,0,0,0,5,0,0,0,1,1,0,1,0,0,0,0,0,2,4,0,0,4,9,1
CSU Monterey Bay Police Department,2017,4,13,0,0,0,0,16,12,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,2,0,0,6,3,0
CSU Monterey Bay Police Department,2018,8,11,0,1,0,0,6,13,0,0,2,1,0,0,0,0,1,0,0,0,0,0,2,0,5,1,0,0,0,3,0
CSU Monterey Bay Police Department,2019,4,18,0,1,0,0,11,19,1,0,1,2,0,0,0,1,1,0,0,0,0,0,0,1,7,0,0,0,0,3,0
