,county_name,data_year,Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.","Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",agency_count
124,MARIPOSA,2020,43,92,2,9,0,3,33,191,15,0,2,5,0,0,0,7,2,0,3,0,0,0,1,0,37,10,0,0,5,11,3,1
125,MARIPOSA,2021,13,33,0,6,0,18,16,43,0,0,1,4,0,0,0,6,0,0,0,1,0,0,0,0,30,3,0,0,1,8,0,1
126,MARIPOSA,2022,20,42,0,2,0,35,34,75,0,0,2,3,0,0,0,6,0,0,3,0,2,0,0,0,39,1,0,0,4,4,0,1
127,MENDOCINO,2017,321,1106,10,100,0,22,167,906,425,4,12,19,0,0,0,121,2,0,23,2,0,0,10,16,349,48,0,11,49,101,15,4
128,MENDOCINO,2018,318,1007,9,113,0,12,184,1140,289,1,17,18,0,0,0,93,1,0,19,3,0,0,6,36,364,49,0,8,45,96,14,4
129,MENDOCINO,2019,371,1132,7,100,0,6,222,1017,365,0,8,21,0,0,0,84,0,0,14,3,0,0,4,27,367,39,0,8,51,112,9,4
130,MENDOCINO,2020,299,820,19,87,0,2,113,752,287,0,8,14,0,0,0,58,1,0,10,4,1,0,6,19,286,30,0,8,41,105,15,4
131,MENDOCINO,2021,7,69,1,4,0,49,40,20,0,0,1,4,0,0,0,29,0,0,4,0,0,0,0,2,37,0,0,0,6,4,0,1
132,MENDOCINO,2022,64,401,10,30,0,155,285,163,11,2,10,11,0,0,0,67,2,0,10,2,0,0,0,21,164,24,0,124,38,48,0,2
133,MERCED,2017,766,2788,25,314,6,62,470,1465,443,3,24,48,1,0,0,395,41,1,107,13,2,6,19,123,952,161,0,8,103,255,104,7
134,MERCED,2018,783,3057,23,304,1,60,399,1103,410,5,7,20,4,0,0,167,17,0,99,6,0,29,19,96,951,136,0,31,125,238,86,7
135,MERCED,2019,710,3304,14,258,0,55,453,918,417,2,26,14,1,0,0,129,28,3,130,17,3,37,20,87,863,141,0,193,108,261,85,7
136,MERCED,2020,753,2081,27,180,0,32,384,885,307,3,14,9,0,0,0,92,14,1,134,16,7,41,24,89,774,110,0,93,117,261,77,7
137,MERCED,2021,14,74,1,4,0,10,20,10,0,0,1,3,0,0,0,5,0,0,1,0,0,0,0,3,20,0,0,0,1,6,0,2
138,MERCED,2022,496,1547,25,103,0,294,450,384,55,4,20,16,0,2,0,153,20,1,58,18,0,9,38,66,752,111,0,15,160,266,23,7
139,MODOC,2017,53,167,1,8,0,8,18,47,18,0,2,1,0,0,0,2,0,0,1,2,0,0,0,2,26,4,0,0,4,14,12,2
140,MODOC,2018,60,201,0,7,0,8,21,81,22,0,0,0,0,0,0,1,3,0,5,0,1,0,2,1,34,4,0,0,7,15,8,2
141,MODOC,2019,48,184,0,11,0,7,22,64,35,0,3,2,0,0,0,2,9,1,2,0,0,0,2,2,21,6,0,1,5,22,5,2
142,MODOC,2020,34,177,3,7,0,5,26,55,18,0,0,2,0,0,0,3,0,0,1,1,0,0,2,5,35,2,0,0,2,16,8,2
143,MODOC,2021,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
144,MODOC,2022,20,76,2,1,0,14,6,22,5,0,0,0,0,0,0,12,0,0,3,0,0,0,0,1,24,0,0,0,4,9,1,2
145,MONO,2017,45,38,0,7,0,2,34,33,1,0,2,1,0,0,0,12,2,1,4,0,0,0,1,2,31,2,0,0,9,3,1,2
146,MONO,2018,56,54,0,4,0,1,19,29,0,0,2,0,0,0,0,3,2,0,1,0,1,0,0,0,43,4,0,0,1,2,0,2
147,MONO,2019,58,33,0,16,0,5,31,26,0,0,0,0,0,0,0,3,0,0,2,0,0,0,2,0,38,2,0,1,5,3,5,2
148,MONO,2020,50,28,2,7,0,1,27,24,1,0,1,0,0,0,0,4,2,0,5,1,0,0,1,2,25,2,0,0,7,0,2,2
149,MONO,2022,36,36,0,11,0,14,17,10,0,0,0,2,0,0,0,11,1,0,1,0,0,0,0,0,38,2,0,0,6,0,0,2
150,MONTEREY,2017,897,3255,23,527,0,124,892,1876,634,30,29,64,1,0,0,323,52,1,191,20,2,8,42,162,903,84,0,96,178,283,113,14
151,MONTEREY,2018,968,3236,20,428,0,124,924,2243,616,6,56,68,1,0,0,206,69,1,211,19,3,66,55,167,1043,88,0,106,133,316,119,14
152,MONTEREY,2019,915,2920,13,389,0,107,968,2065,686,18,59,82,0,0,0,216,62,0,137,13,0,23,28,147,957,88,0,49,157,279,110,14
153,MONTEREY,2020,826,2342,18,347,0,67,764,1805,320,5,41,71,0,0,0,188,46,1,149,13,0,2,33,146,872,62,0,38,129,245,100,14
