,county_name,data_year,Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.","Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",agency_count
230,SAN LUIS OBISPO,2021,55,165,2,6,0,120,198,257,0,0,7,4,0,0,0,28,2,0,7,0,0,0,1,5,55,19,0,6,4,36,2,4
231,SAN LUIS OBISPO,2022,604,1768,14,126,0,247,770,1532,587,2,69,28,1,0,0,130,30,0,39,3,3,1,15,47,415,63,0,12,103,161,36,9
232,SAN MATEO,2017,1009,3006,15,819,0,34,1350,3665,1418,37,54,96,1,0,0,602,95,2,177,6,0,64,34,210,1018,217,0,20,184,360,139,16
233,SAN MATEO,2018,1051,3318,15,811,0,45,1390,3912,1469,23,52,100,0,0,0,739,103,0,110,11,2,43,30,189,1003,172,0,36,151,265,114,16
234,SAN MATEO,2019,1099,3518,21,823,0,23,1218,3739,1485,27,44,85,0,0,0,801,109,0,120,8,1,22,41,207,1105,212,0,23,179,327,110,16
235,SAN MATEO,2020,938,2100,20,585,0,10,841,2746,894,9,32,57,0,0,0,374,62,1,111,6,1,20,31,188,842,215,0,17,157,244,145,16
236,SAN MATEO,2021,31,334,0,16,0,88,135,105,0,0,4,28,0,0,0,43,0,0,6,1,0,6,0,3,86,16,0,1,18,24,1,4
237,SAN MATEO,2022,741,4335,27,242,0,686,1137,1975,186,13,46,236,0,0,0,911,67,3,62,7,1,17,31,152,1096,351,0,11,194,354,37,16
238,SANTA BARBARA,2017,955,6289,10,405,17,138,1034,3509,822,4,50,107,1,0,0,364,975,2,126,2,6,52,37,139,1364,101,0,610,191,193,99,7
239,SANTA BARBARA,2018,964,5819,16,348,2,110,1047,3316,668,13,48,92,0,0,0,377,726,0,105,8,6,13,40,108,1267,111,0,565,200,203,93,7
240,SANTA BARBARA,2019,867,5153,12,337,0,82,895,3051,496,10,48,100,0,0,0,342,717,0,98,8,4,15,23,135,1039,100,0,68,205,230,86,7
241,SANTA BARBARA,2020,870,2630,17,287,0,38,881,2450,321,9,38,69,0,0,0,265,496,1,141,12,5,18,18,104,909,87,0,51,202,184,81,7
242,SANTA BARBARA,2021,121,465,0,50,0,55,486,130,0,3,3,25,0,0,0,68,6,0,59,2,7,6,8,28,337,21,0,6,65,55,5,2
243,SANTA BARBARA,2022,629,2643,34,242,2,295,961,1564,84,11,39,99,0,0,0,257,303,2,163,14,4,27,23,141,1034,105,0,41,222,223,38,7
244,SANTA CLARA,2017,3157,7880,65,882,25,164,2124,6958,2346,48,137,249,7,0,0,1990,136,8,870,47,4,404,143,608,2661,411,0,232,560,838,475,15
245,SANTA CLARA,2018,3090,8796,65,784,32,104,2207,7087,2097,31,150,250,8,0,0,1454,92,8,903,37,6,641,140,711,2768,521,0,280,511,889,479,15
246,SANTA CLARA,2019,3301,8186,78,847,25,133,2179,7012,1908,48,132,254,7,0,0,1334,77,10,750,46,7,507,139,648,2830,391,0,55,512,952,490,15
247,SANTA CLARA,2020,3178,5719,76,802,22,124,1486,7089,1002,15,122,184,7,0,0,1079,55,13,835,53,6,357,180,645,2625,322,0,41,597,830,467,15
248,SANTA CLARA,2021,153,534,7,48,0,164,291,196,0,5,8,33,0,0,0,94,1,0,32,2,1,0,7,19,189,44,0,11,45,58,8,9
249,SANTA CLARA,2022,3355,7218,76,668,5,704,2358,4063,322,33,86,256,2,0,0,1455,42,18,680,49,5,97,181,608,2836,474,0,50,640,1052,442,15
250,SANTA CRUZ,2017,610,1930,17,286,0,37,350,2569,1234,14,21,82,0,0,0,533,72,2,59,10,0,4,28,86,963,218,0,98,226,292,70,6
251,SANTA CRUZ,2018,624,1925,25,279,0,47,384,2611,1187,11,28,91,0,0,0,372,42,0,65,18,1,0,19,67,920,193,0,58,236,271,79,6
252,SANTA CRUZ,2019,642,1776,20,331,0,33,430,2238,1126,5,22,77,0,0,0,307,107,0,44,8,1,0,20,69,998,156,0,57,187,242,79,6
253,SANTA CRUZ,2020,542,1910,21,219,0,37,311,2253,626,6,22,50,0,0,0,213,40,1,52,18,3,0,13,73,838,125,0,55,209,233,58,6
254,SANTA CRUZ,2021,40,103,1,2,0,87,5,113,0,0,1,9,0,0,0,16,3,0,1,2,0,0,2,2,70,2,0,1,11,16,0,3
255,SANTA CRUZ,2022,464,1785,32,144,0,381,406,1613,420,2,16,63,0,0,0,191,43,0,38,7,2,0,10,99,905,87,0,35,166,227,42,6
256,SHASTA,2017,468,5627,5,184,1,29,395,1510,711,2,15,35,0,0,0,271,22,1,42,10,0,6,14,78,438,237,0,17,71,232,51,4
257,SHASTA,2018,410,4944,7,184,0,17,438,1497,500,2,17,48,0,0,0,186,31,2,34,7,3,3,14,66,445,169,0,24,90,219,52,4
258,SHASTA,2019,468,3107,8,225,0,22,405,2007,451,1,17,42,0,0,0,173,19,0,79,6,2,2,11,79,443,211,0,21,57,257,43,4
259,SHASTA,2020,414,3402,7,140,0,6,332,2388,355,0,13,38,0,0,0,150,35,2,53,4,5,2,19,48,343,121,0,15,96,225,47,4
260,SHASTA,2022,375,3974,13,130,2,123,330,2161,479,3,15,47,0,0,0,216,29,0,31,1,1,0,9,51,413,179,0,44,88,210,44,3
261,SIERRA,2017,17,23,1,7,0,0,20,9,5,1,0,0,0,0,0,2,0,0,3,2,0,1,0,1,6,0,0,0,0,2,2,1
262,SIERRA,2018,9,21,2,3,0,0,18,16,6,0,2,0,0,0,0,2,0,0,4,0,2,0,0,0,9,1,0,0,4,0,7,1
263,SIERRA,2019,12,20,2,2,0,0,26,5,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,1,0,0,3,1,3,1
264,SIERRA,2020,12,11,2,4,0,0,25,19,5,0,1,1,0,0,0,2,0,0,0,1,1,0,1,0,10,1,0,0,3,1,0,1
265,SIERRA,2022,5,6,3,2,0,1,12,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,1
266,SISKIYOU,2017,129,846,5,58,0,3,78,274,229,1,3,8,0,0,0,43,5,0,28,4,0,0,6,4,173,14,0,13,32,43,14,6
267,SISKIYOU,2018,158,719,3,44,0,2,77,274,234,3,2,7,0,0,0,52,0,0,29,3,1,0,6,4,153,12,0,18,26,53,11,6
268,SISKIYOU,2019,143,782,1,33,0,8,61,290,163,0,4,6,0,0,0,44,4,0,15,3,0,0,4,6,160,13,0,9,18,66,10,6
269,SISKIYOU,2020,126,548,7,31,0,4,41,299,141,0,7,7,0,0,0,25,0,0,22,2,0,0,0,4,135,9,0,6,28,51,6,6
270,SISKIYOU,2022,102,568,11,30,0,43,66,204,104,0,4,11,0,0,0,45,2,0,13,0,0,0,3,6,126,19,0,14,43,42,4,6
271,SOLANO,2017,1313,3510,31,729,1,63,827,2577,798,16,57,129,10,0,0,468,44,3,263,19,3,48,27,227,1461,319,0,267,214,467,122,8
272,SOLANO,2018,1213,3588,15,691,0,54,862,2735,757,18,58,112,1,0,0,515,28,0,266,21,11,23,25,205,1478,255,0,290,196,377,111,8
273,SOLANO,2019,1015,3450,22,687,0,67,784,1857,537,16,35,84,0,0,0,337,13,2,199,14,6,29,16,210,1241,229,0,152,204,347,98,8
274,SOLANO,2020,1046,2629,51,499,0,44,687,1978,370,9,34,60,0,0,0,246,4,1,244,21,1,20,11,157,1056,275,0,156,220,461,74,8
275,SOLANO,2021,27,111,0,7,0,18,45,91,0,2,0,2,0,0,0,26,0,0,1,0,0,0,3,2,44,13,0,2,12,19,1,1
276,SOLANO,2022,887,2477,38,215,2,187,753,1023,186,23,29,53,1,1,0,321,9,4,150,16,5,41,14,150,1255,310,0,29,221,347,62,8
277,SONOMA,2017,1219,4664,18,400,0,60,1306,3508,805,9,53,87,1,0,0,369,108,2,75,9,5,7,36,113,1229,222,0,168,201,328,107,10
278,SONOMA,2018,1169,5173,19,441,0,38,1165,3641,774,8,61,101,0,0,0,330,68,2,65,13,3,5,53,115,1287,255,0,143,205,323,116,10
279,SONOMA,2019,1262,4648,19,351,0,53,1160,3522,778,7,59,85,0,0,0,318,77,2,48,7,5,3,35,130,1196,185,0,114,232,300,119,10
280,SONOMA,2020,874,2916,22,254,0,41,577,1757,335,6,23,139,0,0,0,172,36,2,67,4,12,5,32,88,966,149,0,31,163,162,79,10
281,SONOMA,2021,6,58,0,0,0,6,26,19,0,0,1,2,0,0,0,8,0,0,0,0,0,0,0,0,11,4,0,0,1,5,0,1
282,SONOMA,2022,601,4266,22,178,1,347,924,1155,94,11,26,106,0,1,0,328,14,1,70,11,8,0,15,108,1244,153,0,18,214,297,28,10
283,STANISLAUS,2017,1661,6576,26,447,9,42,810,3010,990,19,46,159,0,0,0,669,24,2,207,25,1,9,49,290,1462,333,0,35,313,523,144,7
284,STANISLAUS,2018,1725,6694,30,375,7,73,724,2518,975,10,47,122,0,0,0,597,25,0,165,36,3,13,49,265,1510,327,0,21,275,521,158,7
285,STANISLAUS,2019,1777,5721,37,315,1,53,782,2630,1125,15,42,104,0,0,0,533,33,1,139,31,6,18,43,258,1598,350,0,22,300,584,141,7
286,STANISLAUS,2020,1754,5908,40,317,0,61,884,3308,889,6,43,101,2,0,0,368,7,3,132,31,19,8,50,223,1660,279,0,19,351,598,162,7
287,STANISLAUS,2022,1497,3330,52,211,7,432,1027,1448,221,17,32,116,2,0,0,349,42,2,83,14,6,69,60,207,1327,295,0,352,314,599,119,7
288,SUTTER,2017,384,1233,7,160,11,9,341,809,262,5,15,20,1,0,0,370,7,1,62,4,2,0,15,37,316,60,0,20,82,132,36,2
289,SUTTER,2018,348,1324,3,100,4,12,394,785,366,4,16,16,0,0,0,406,7,2,50,4,3,2,14,33,289,68,0,24,45,105,37,2
290,SUTTER,2019,348,1312,6,132,0,12,307,883,370,5,16,17,0,0,0,473,2,0,41,4,0,0,8,43,303,73,0,18,38,100,25,2
291,SUTTER,2020,294,831,5,101,6,11,218,553,159,4,7,9,0,0,0,366,10,1,43,8,1,0,9,42,216,43,0,9,52,74,21,2
292,SUTTER,2021,7,87,0,6,0,15,17,27,0,0,1,7,0,0,0,14,0,0,3,0,0,0,1,2,12,9,0,0,10,1,0,1
293,SUTTER,2022,228,1279,2,52,0,283,282,608,63,1,17,43,0,0,0,266,0,1,23,3,0,0,9,33,318,46,0,15,61,96,13,2
294,TEHAMA,2017,150,300,1,96,2,6,134,559,205,2,4,10,1,0,0,132,3,0,11,2,1,0,9,14,195,83,0,8,26,93,28,3
295,TEHAMA,2018,177,387,3,95,1,6,139,570,224,2,5,9,0,0,0,104,1,0,7,3,0,0,8,14,262,75,0,20,17,85,33,3
296,TEHAMA,2019,162,365,4,85,0,6,178,612,174,0,4,11,0,0,0,99,2,0,20,2,0,0,0,14,259,71,0,13,40,80,28,3
297,TEHAMA,2020,149,259,11,78,1,15,85,435,129,1,2,7,0,0,0,77,3,0,2,2,2,0,5,10,182,41,0,9,42,44,16,3
298,TEHAMA,2021,61,284,8,15,0,185,75,151,0,0,3,20,0,0,0,33,0,0,5,1,0,0,7,7,121,35,0,4,26,49,0,3
299,TEHAMA,2022,54,365,13,22,0,243,113,244,0,0,13,38,0,0,0,57,0,0,14,2,0,0,5,16,187,51,0,8,40,78,5,3
300,TRINITY,2017,64,180,0,4,0,2,107,76,64,1,2,3,0,0,0,7,1,0,5,3,0,0,3,8,23,4,0,0,8,20,5,1
301,TRINITY,2018,47,191,1,10,0,0,88,91,8,1,1,0,0,0,0,6,1,1,4,2,4,0,0,6,26,4,0,0,3,11,7,1
302,TRINITY,2019,21,120,1,8,0,0,72,96,1,0,0,2,0,0,0,5,0,1,2,3,4,0,0,1,22,3,0,0,6,5,4,1
303,TRINITY,2020,50,83,2,8,0,0,63,77,10,0,1,0,0,0,0,2,0,0,7,2,0,0,3,0,24,2,0,1,5,21,0,1
304,TRINITY,2022,37,64,3,15,0,17,3,44,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,3,23,3,0,0,7,3,2,1
305,TULARE,2017,1805,4792,34,926,4,60,1117,5039,1612,10,89,124,0,0,0,507,45,2,201,29,11,19,51,185,1712,389,0,90,303,542,199,10
306,TULARE,2018,1983,5174,31,979,4,48,1065,4579,1617,13,109,145,3,0,0,433,48,5,221,37,16,19,63,191,1641,391,0,61,282,644,169,10
307,TULARE,2019,1900,5752,40,789,5,53,1167,4605,1583,13,116,160,9,0,0,405,30,3,243,38,14,20,53,191,1627,393,0,79,327,625,166,10
308,TULARE,2020,1950,5131,46,606,0,36,1154,4513,1400,12,105,114,1,0,0,350,25,3,163,47,14,22,47,166,1529,359,0,22,252,660,171,10
309,TULARE,2021,276,779,7,62,0,124,409,1247,0,1,51,78,1,0,0,117,2,0,44,6,1,0,11,26,638,74,0,3,83,134,21,3
310,TULARE,2022,1423,2471,77,263,1,882,1268,3061,304,4,120,209,1,0,0,424,19,4,219,71,18,6,40,179,2030,372,0,40,295,745,107,10
311,TUOLUMNE,2017,167,901,4,50,0,9,58,638,167,2,4,21,0,0,0,78,3,0,5,1,0,0,4,8,176,28,0,5,18,52,9,2
312,TUOLUMNE,2018,180,959,5,67,0,6,50,557,151,1,5,9,0,0,0,69,14,0,7,1,0,0,4,10,137,20,0,6,35,50,9,2
313,TUOLUMNE,2019,170,939,3,72,0,5,72,678,158,0,8,15,0,0,0,67,3,0,6,3,0,0,5,5,202,18,0,4,31,66,18,2
314,TUOLUMNE,2020,173,809,12,60,0,5,40,503,157,2,7,8,0,0,0,58,3,0,1,2,0,0,8,8,172,16,0,2,25,38,10,2
315,TUOLUMNE,2022,130,805,9,40,0,81,81,187,65,0,1,15,0,0,0,39,6,0,1,0,0,0,6,5,152,12,0,0,31,27,5,2
316,VENTURA,2017,1235,7450,24,608,58,59,1343,6830,765,5,44,113,1,0,0,934,75,1,324,18,6,12,28,196,1492,195,0,172,475,446,112,7
317,VENTURA,2018,1344,7995,25,554,62,67,1498,7579,733,3,39,106,2,0,0,813,92,4,348,21,15,6,22,208,1671,195,0,292,492,484,160,7
318,VENTURA,2019,1284,8715,28,567,114,80,1377,7481,865,5,48,104,0,0,0,788,74,1,251,21,13,5,22,216,1894,186,0,199,506,530,154,7
319,VENTURA,2020,1211,6277,37,496,41,56,1036,6486,536,1,31,88,2,0,0,658,68,1,282,22,6,17,22,175,1590,158,0,374,504,531,131,7
320,VENTURA,2021,44,117,1,8,0,13,51,173,0,0,1,3,0,0,0,18,8,0,7,0,0,0,0,3,81,8,0,1,18,40,0,1
321,VENTURA,2022,1045,5367,33,329,13,171,1092,3764,322,3,49,86,0,0,0,545,46,1,192,12,2,1,17,123,1376,119,0,153,373,557,128,7
322,YOLO,2017,394,2150,11,172,16,24,367,1555,410,12,27,30,0,0,0,242,44,5,77,12,2,6,15,63,499,74,0,55,78,126,47,6
323,YOLO,2018,438,1927,18,171,1,14,303,1427,410,7,17,30,0,0,0,280,10,0,81,10,1,2,12,101,459,81,0,29,64,101,45,6
324,YOLO,2019,453,1835,24,198,1,19,332,1451,430,8,15,33,0,0,0,291,9,4,61,2,1,2,11,73,402,76,0,23,88,66,40,6
325,YOLO,2020,438,1109,22,167,0,9,212,973,206,6,11,17,0,0,0,176,1,1,92,6,3,1,9,55,418,64,0,31,95,91,28,6
326,YOLO,2021,40,233,2,7,0,44,61,38,0,3,0,2,0,0,0,30,0,0,2,0,0,0,1,10,44,8,0,0,14,11,1,3
327,YOLO,2022,220,1575,22,63,0,177,328,473,32,2,14,28,0,0,0,128,0,0,28,2,2,1,7,30,306,60,0,11,97,94,11,6
328,YUBA,2017,388,757,12,94,0,1,252,372,444,0,7,33,0,0,0,74,19,0,77,20,0,0,15,34,157,39,0,5,45,91,38,3
329,YUBA,2018,336,790,9,89,0,5,179,445,489,3,3,24,0,0,0,53,6,2,65,7,1,0,13,30,151,20,0,2,34,82,21,3
330,YUBA,2019,323,830,4,82,0,3,197,552,479,0,6,16,0,0,0,53,19,2,72,9,1,1,8,22,171,26,0,0,34,104,27,3
331,YUBA,2020,276,503,6,62,0,0,117,589,240,1,6,18,0,0,0,22,10,0,40,1,2,0,6,16,118,28,0,3,48,61,37,3
332,YUBA,2022,270,699,1,39,0,31,162,569,107,1,2,17,0,0,0,38,3,0,61,2,0,0,18,21,146,44,0,1,35,79,27,3
